INCIDENT NUMBER,CHARGE ID,CHARGE DATE,REPORT DATE,APPROVED DATE,ATTEMPTED OR COMMITTED,STREET ADDRESS,SUBADDRESS,CITY,STATE,ZIP CODE,DISTRICT,ZONE,SUBZONE,STATUTE TITLE,STATUTE DESCRIPTION,STATUTE CATEGORY,CRIME AGAINST,NIBRS CODE,NIBRS DESCRIPTION,CENSUS BLOCK GROUP,COUNCIL DISTRICT,CRIME PREVENTION DISTRICT,NEIGHBORHOOD,LONGITUDE,LATITUDE,GEOLOCATION
21-069419,C6C88935-A294-44E8-9F56-DD2DCD1E5986,07/15/2021 03:10:26 PM,07/15/2021 10:42:04 PM,05/12/2023 12:09:28 PM,COMMITTED,702 S 18TH ST,,BATON ROUGE,LA,70802,2,2A,2A1,13:38,SIMPLE ASSAULT,ASSAULT,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,-91.17039,30.44178,POINT (-91.170391 30.441783)
21-056866,4DCF3693-BB3B-49EC-BD4A-39C65CEA9099,06/12/2021 01:44:00 PM,06/12/2021 04:13:10 PM,06/13/2021 07:28:34 AM,COMMITTED,,,BATON ROUGE,LA,70802,2,2A,2A1,14:42(A)(4),FIRST DEGREE RAPE-VICTIM UNDER 13 YRS OF AGE,SEXUAL ASSAULT,PERSON,11A,FORCIBLE RAPE,,10,,DOWNTOWN EAST,,,
21-121569,E0777F45-36AC-42A6-BF32-BCE227284CDF,11/27/2021 05:59:07 PM,11/27/2021 06:35:44 PM,11/28/2021 03:26:44 PM,COMMITTED,90-108 N INTERSTATE 110 HWY,,BATON ROUGE,LA,70802,1,1A,1A2,14:94,ILLEGAL USE OF WEAPONS OR DANGEROUS INSTRUMENTALITIES,BATTERY,PERSON,13A,AGGRAVATED ASSAULT,,10,,DOWNTOWN EAST,-91.18050,30.45314,POINT (-91.180503 30.453138)
21-093138,9E07C14C-6E89-4A45-A191-B0289B01C65F,09/14/2021 11:08:39 AM,09/14/2021 11:38:57 AM,09/15/2021 12:02:12 PM,COMMITTED,1253 FLORIDA ST,,BATON ROUGE,LA,70802,1,1A,1A2,14:34.1,SECOND DEGREE BATTERY,BATTERY,PERSON,13A,AGGRAVATED ASSAULT,,10,,DOWNTOWN EAST,-91.17633,30.44980,POINT (-91.176332 30.4498)
21-039341,C2E55869-9A84-405C-B5F0-4B355A37DED7,04/26/2021 11:59:44 AM,04/26/2021 12:41:32 PM,08/11/2021 08:12:45 AM,COMMITTED,220 SAINT VINCENT DE PAUL PL,,BATON ROUGE,LA,70802,1,1A,1A1,14:34.2,BATTERY OF A POLICE OFFICER,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,-91.17246,30.44914,POINT (-91.172465 30.449144)
21-118803,4B0DEF7D-4976-4FB0-8401-7D2E1B294489,11/19/2021 06:52:16 PM,12/14/2021 10:34:47 PM,12/17/2021 01:01:42 PM,ATTEMPTED,150 S 17TH ST,,BATON ROUGE,LA,70802,1,1A,1A1,14:30,FIRST DEGREE MURDER,HOMICIDE,PERSON,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,,10,,DOWNTOWN EAST,-91.17201,30.44705,POINT (-91.172009 30.447047)
21-051106,74B147B0-5A6C-4B11-9E80-864CA0BC8B5E,05/27/2021 08:02:37 PM,05/28/2021 07:16:31 PM,04/14/2023 09:48:52 AM,COMMITTED,1844 GAYOSA ST,,BATON ROUGE,LA,70802,1,1A,1A2,13:35,SIMPLE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,-91.17002,30.45392,POINT (-91.170025 30.453925)
21-026658,56F9843C-CC53-4514-BF81-A03847441665,03/22/2021 01:15:00 PM,03/22/2021 11:57:00 AM,03/26/2021 01:45:43 PM,COMMITTED,3600 FLORIDA ST,,BATON ROUGE,LA,70802,1,1C,1A1,14:38.8,BATTERY OF EMERGENCY ROOM PERSONNEL,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,-91.17512,30.44970,POINT (-91.17512 30.4497)
21-037067,1F381841-D452-4C7D-A110-00159460ACF0,04/20/2021 08:58:06 AM,04/20/2021 07:03:10 PM,05/24/2021 01:51:42 PM,COMMITTED,,,BATON ROUGE,LA,70802,1,1A,1A1,14:35.3(I),DOMESTIC ABUSE BATTERY - CHILD ENDANGERMENT,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,,,
21-069206,C7934600-4B0A-49A8-B491-2C8A78BAC926,07/14/2021 11:49:52 PM,07/15/2021 06:39:51 PM,05/12/2023 10:42:41 AM,COMMITTED,153 N 17TH ST,,BATON ROUGE,LA,70802,1,1A,1A1,13:35,SIMPLE BATTERY,BATTERY,PERSON,13B,SIMPLE ASSAULT,,10,,DOWNTOWN EAST,-91.17202,30.44847,POINT (-91.172018 30.448468)
